"","Cancer","Sample.type","Sample.total","Gene1","Gene2","estimate","statistic","p.value","method","alternative","p.adj"
"199","UCEC","Tumor",530,"ACE2","myeloid.gene6",0.393006327434256,15061179.2139873,5.08015233519091e-21,"Spearman's rank correlation rho","two.sided",2.41307235921568e-19
"200","UCEC","Normal",22,"ACE2","myeloid.gene6",0.217391304347826,1386,0.329564810941192,"Spearman's rank correlation rho","two.sided",0.465902634515078
"201","UCS","Tumor",56,"ACE2","myeloid.gene6",0.152770894945322,24789.9236138999,0.260987044998,"Spearman's rank correlation rho","two.sided",0.401193677585922
"202","UCS","Normal",0,"ACE2","myeloid.gene6",NA,NA,NA,NA,NA,NA
"203","UVM","Tumor",80,"ACE2","myeloid.gene6",-0.22549985258818,104559.647422823,0.0443072063992691,"Spearman's rank correlation rho","two.sided",0.110768015998173
"204","UVM","Normal",0,"ACE2","myeloid.gene6",NA,NA,NA,NA,NA,NA
"205","ACC","Tumor",79,"ACE2","TGFb.gene19",-0.059031158714703,87010,0.604621437232276,"Spearman's rank correlation rho","two.sided",0.709937964568195
"206","ACC","Normal",0,"ACE2","TGFb.gene19",NA,NA,NA,NA,NA,NA
"207","BLCA","Tumor",408,"ACE2","TGFb.gene19",0.0178989145323082,11116877.5233342,0.718503160633109,"Spearman's rank correlation rho","two.sided",0.801147890377293
"208","BLCA","Normal",19,"ACE2","TGFb.gene19",-0.505263157894737,1716,0.0290236014024275,"Spearman's rank correlation rho","two.sided",0.0792178757852047
"209","BRCA","Tumor",1084,"ACE2","TGFb.gene19",0.159235618574615,178488619.832322,1.36192778982198e-07,"Spearman's rank correlation rho","two.sided",1.40633847862052e-06
"210","BRCA","Normal",113,"ACE2","TGFb.gene19",-0.0528395102801251,253170,0.577799845875447,"Spearman's rank correlation rho","two.sided",0.692479434418394
"211","CESC","Tumor",304,"ACE2","TGFb.gene19",0.0814448269675975,4301006,0.156537108274765,"Spearman's rank correlation rho","two.sided",0.287085430233642
"212","CESC","Normal",3,"ACE2","TGFb.gene19",NA,NA,NA,NA,NA,NA
"213","CHOL","Tumor",36,"ACE2","TGFb.gene19",-0.288545688545689,10012,0.0880924521272372,"Spearman's rank correlation rho","two.sided",0.188486102524494
"214","CHOL","Normal",9,"ACE2","TGFb.gene19",NA,NA,NA,NA,NA,NA
"215","COAD","Tumor",447,"ACE2","TGFb.gene19",-0.0940231481282434,16285296,0.046983446477784,"Spearman's rank correlation rho","two.sided",0.116235088942434
"216","COAD","Normal",41,"ACE2","TGFb.gene19",-0.35,15498,0.025428646409734,"Spearman's rank correlation rho","two.sided",0.0710506296742568
"217","DLBC","Tumor",48,"ACE2","TGFb.gene19",0.258074671226655,13669.2322573201,0.0765609102039456,"Spearman's rank correlation rho","two.sided",0.171539775221104
"218","DLBC","Normal",0,"ACE2","TGFb.gene19",NA,NA,NA,NA,NA,NA
"219","ESCA","Tumor",161,"ACE2","TGFb.gene19",-0.317802507476421,916558,4.37155656674356e-05,"Spearman's rank correlation rho","two.sided",0.000305366083706352
"220","ESCA","Normal",9,"ACE2","TGFb.gene19",NA,NA,NA,NA,NA,NA
"221","GBM","Tumor",152,"ACE2","TGFb.gene19",-0.100046826087604,643831.006185248,0.220064217980536,"Spearman's rank correlation rho","two.sided",0.361697244085656
"222","GBM","Normal",0,"ACE2","TGFb.gene19",NA,NA,NA,NA,NA,NA
"223","HNSC","Tumor",500,"ACE2","TGFb.gene19",-0.213837495349981,25288180,1.48056435794126e-06,"Spearman's rank correlation rho","two.sided",1.21253115521051e-05
"224","HNSC","Normal",44,"ACE2","TGFb.gene19",-0.276250880902044,18110,0.0697579676155237,"Spearman's rank correlation rho","two.sided",0.161235062790662
"225","KICH","Tumor",65,"ACE2","TGFb.gene19",-0.214250592785875,55564.1071258817,0.0865672204332762,"Spearman's rank correlation rho","two.sided",0.186060767899575
"226","KICH","Normal",24,"ACE2","TGFb.gene19",0.194782608695652,1852,0.360062143817086,"Spearman's rank correlation rho","two.sided",0.501552839627906
"227","KIRC","Tumor",530,"ACE2","TGFb.gene19",-0.333754494590472,33094110.1668773,2.95237664526018e-15,"Spearman's rank correlation rho","two.sided",1.07875300499891e-13
"228","KIRC","Normal",72,"ACE2","TGFb.gene19",0.204772011061805,49460,0.084487416769189,"Spearman's rank correlation rho","two.sided",0.183248963312168
"229","KIRP","Tumor",288,"ACE2","TGFb.gene19",-0.353558568334077,5388874,8.68732168289915e-10,"Spearman's rank correlation rho","two.sided",1.21366994099326e-08
"230","KIRP","Normal",32,"ACE2","TGFb.gene19",0.163856304985337,4562,0.368673076536874,"Spearman's rank correlation rho","two.sided",0.51055309432949
"231","LAML","Tumor",145,"ACE2","TGFb.gene19",-0.0326448713108121,524666.206215597,0.696685957351829,"Spearman's rank correlation rho","two.sided",0.780485447504997
"232","LAML","Normal",0,"ACE2","TGFb.gene19",NA,NA,NA,NA,NA,NA
"233","LGG","Tumor",510,"ACE2","TGFb.gene19",0.0322728991342261,21394912.3526874,0.46708766153819,"Spearman's rank correlation rho","two.sided",0.601264604961085
"234","LGG","Normal",0,"ACE2","TGFb.gene19",NA,NA,NA,NA,NA,NA
"235","LIHC","Tumor",371,"ACE2","TGFb.gene19",-0.154502961206211,9825674.53205615,0.00284663582545988,"Spearman's rank correlation rho","two.sided",0.0125199260841986
"236","LIHC","Normal",50,"ACE2","TGFb.gene19",-0.0399039615846338,21656,0.782685613340778,"Spearman's rank correlation rho","two.sided",0.852047621064851
"237","LUAD","Tumor",512,"ACE2","TGFb.gene19",-0.0665600782492797,23858454.0665601,0.132563388080774,"Spearman's rank correlation rho","two.sided",0.250866969475568
"238","LUAD","Normal",59,"ACE2","TGFb.gene19",-0.0531268264172998,36038,0.688707846319229,"Spearman's rank correlation rho","two.sided",0.775204329387758
"239","LUSC","Tumor",501,"ACE2","TGFb.gene19",-0.0246635971085717,21475412,0.581682724911451,"Spearman's rank correlation rho","two.sided",0.692479434418394
"240","LUSC","Normal",49,"ACE2","TGFb.gene19",-0.0401020408163265,20386,0.783883811379663,"Spearman's rank correlation rho","two.sided",0.852047621064851
"241","MESO","Tumor",86,"ACE2","TGFb.gene19",-0.290796775892655,136818.004260742,0.00660275604710183,"Spearman's rank correlation rho","two.sided",0.0248913422410585
"242","MESO","Normal",0,"ACE2","TGFb.gene19",NA,NA,NA,NA,NA,NA
"243","OV","Tumor",264,"ACE2","TGFb.gene19",-0.0793793214883238,3310003.03968966,0.198557978275823,"Spearman's rank correlation rho","two.sided",0.334450495322751
"244","OV","Normal",0,"ACE2","TGFb.gene19",NA,NA,NA,NA,NA,NA
"245","PAAD","Tumor",177,"ACE2","TGFb.gene19",-0.156671456519105,1068968,0.0373897059392689,"Spearman's rank correlation rho","two.sided",0.0975830237425974
"246","PAAD","Normal",4,"ACE2","TGFb.gene19",NA,NA,NA,NA,NA,NA
"247","PCPG","Tumor",178,"ACE2","TGFb.gene19",0.0579675452115363,885443.623196866,0.442141851531262,"Spearman's rank correlation rho","two.sided",0.581765594120081
"248","PCPG","Normal",3,"ACE2","TGFb.gene19",NA,NA,NA,NA,NA,NA
"249","PRAD","Tumor",495,"ACE2","TGFb.gene19",0.156725380933009,17046357.9216373,0.000465686545589735,"Spearman's rank correlation rho","two.sided",0.00248540572084409
"250","PRAD","Normal",52,"ACE2","TGFb.gene19",-0.13890548962691,26680,0.325048033944608,"Spearman's rank correlation rho","two.sided",0.461136600173434
"251","READ","Tumor",159,"ACE2","TGFb.gene19",-0.178301886792453,789368,0.0246544097892207,"Spearman's rank correlation rho","two.sided",0.0692949387566853
"252","READ","Normal",10,"ACE2","TGFb.gene19",NA,NA,NA,NA,NA,NA
"253","SARC","Tumor",259,"ACE2","TGFb.gene19",0.153805264689568,2450258.39945959,0.0132102243297241,"Spearman's rank correlation rho","two.sided",0.0436593609390639
"254","SARC","Normal",2,"ACE2","TGFb.gene19",NA,NA,NA,NA,NA,NA
"255","SKCMmets","Tumor",367,"ACE2","TGFb.gene19",-0.16157125618077,9569507.22205975,0.00190197218754186,"Spearman's rank correlation rho","two.sided",0.00912562413214529
"256","SKCMmets","Normal",1,"ACE2","TGFb.gene19",NA,NA,NA,NA,NA,NA
"257","SKCMprimary","Tumor",103,"ACE2","TGFb.gene19",-0.0696012925123669,194778.673771672,0.484800122224716,"Spearman's rank correlation rho","two.sided",0.612446962916862
"258","SKCMprimary","Normal",0,"ACE2","TGFb.gene19",NA,NA,NA,NA,NA,NA
"259","STAD","Tumor",374,"ACE2","TGFb.gene19",-0.0992328410002965,9584073.73657646,0.0551893182926335,"Spearman's rank correlation rho","two.sided",0.134740251702431
"260","STAD","Normal",30,"ACE2","TGFb.gene19",-0.692992213570634,7610,3.53890974361521e-05,"Spearman's rank correlation rho","two.sided",0.000254694261851095
"261","TGCT","Tumor",134,"ACE2","TGFb.gene19",0.479864834571832,208571.600660868,4.44425819064778e-09,"Spearman's rank correlation rho","two.sided",6.03149325873628e-08
"262","TGCT","Normal",0,"ACE2","TGFb.gene19",NA,NA,NA,NA,NA,NA
"263","THCA","Tumor",502,"ACE2","TGFb.gene19",-0.154782507198087,24347724.2321738,0.000500837610175324,"Spearman's rank correlation rho","two.sided",0.00261426225091515
"264","THCA","Normal",58,"ACE2","TGFb.gene19",-0.160540158110062,37728,0.227994671693217,"Spearman's rank correlation rho","two.sided",0.368581413194281
"265","THYM","Tumor",119,"ACE2","TGFb.gene19",-0.0696481982623558,300400,0.451109420074071,"Spearman's rank correlation rho","two.sided",0.585456214577004
"266","THYM","Normal",2,"ACE2","TGFb.gene19",NA,NA,NA,NA,NA,NA
"267","UCEC","Tumor",530,"ACE2","TGFb.gene19",-0.0491759818735077,26032936.098352,0.258422729189287,"Spearman's rank correlation rho","two.sided",0.399839727573001
"268","UCEC","Normal",22,"ACE2","TGFb.gene19",-0.640880858272163,2906,0.0016814781614929,"Spearman's rank correlation rho","two.sided",0.00815002170111353
"269","UCS","Tumor",56,"ACE2","TGFb.gene19",-0.0428236982922794,30513.0214120321,0.753992613576204,"Spearman's rank correlation rho","two.sided",0.829042804279391
"270","UCS","Normal",0,"ACE2","TGFb.gene19",NA,NA,NA,NA,NA,NA
"271","UVM","Tumor",80,"ACE2","TGFb.gene19",-0.141942329306494,97430.51953643,0.20913052012032,"Spearman's rank correlation rho","two.sided",0.347332157542489
"272","UVM","Normal",0,"ACE2","TGFb.gene19",NA,NA,NA,NA,NA,NA
"273","ACC","Tumor",79,"ACE2","ISG.gene38",-0.0417478091528724,85590,0.714348989175873,"Spearman's rank correlation rho","two.sided",0.798390046725975
"274","ACC","Normal",0,"ACE2","ISG.gene38",NA,NA,NA,NA,NA,NA
"275","BLCA","Tumor",408,"ACE2","ISG.gene38",0.362517576579379,7215972.09219094,4.07197499504059e-14,"Spearman's rank correlation rho","two.sided",1.20886757665268e-12
"276","BLCA","Normal",19,"ACE2","ISG.gene38",0.473684210526316,600,0.0421714634886272,"Spearman's rank correlation rho","two.sided",0.105986482312687
"277","BRCA","Tumor",1084,"ACE2","ISG.gene38",0.106486157716111,189686975.368711,0.000444896393932452,"Spearman's rank correlation rho","two.sided",0.00240142939906721
"278","BRCA","Normal",113,"ACE2","ISG.gene38",0.0732583671568301,222848,0.4400655657562,"Spearman's rank correlation rho","two.sided",0.580642065928319
"279","CESC","Tumor",304,"ACE2","ISG.gene38",0.44660854782631,2591178,0,"Spearman's rank correlation rho","two.sided",0
"280","CESC","Normal",3,"ACE2","ISG.gene38",NA,NA,NA,NA,NA,NA
"281","CHOL","Tumor",36,"ACE2","ISG.gene38",0.123552123552124,6810,0.471342862924315,"Spearman's rank correlation rho","two.sided",0.605102324024458
"282","CHOL","Normal",9,"ACE2","ISG.gene38",NA,NA,NA,NA,NA,NA
"283","COAD","Tumor",447,"ACE2","ISG.gene38",-0.173917430531968,17474578,0.00022457485336335,"Spearman's rank correlation rho","two.sided",0.00131695130058755
"284","COAD","Normal",41,"ACE2","ISG.gene38",0.422996515679443,6624,0.0062477789399381,"Spearman's rank correlation rho","two.sided",0.0242233707676113
"285","DLBC","Tumor",48,"ACE2","ISG.gene38",0.111606077168906,16367.7696342401,0.450122087703093,"Spearman's rank correlation rho","two.sided",0.585456214577004
"286","DLBC","Normal",0,"ACE2","ISG.gene38",NA,NA,NA,NA,NA,NA
"287","ESCA","Tumor",161,"ACE2","ISG.gene38",0.386039222452266,427022,5.27250986201112e-07,"Spearman's rank correlation rho","two.sided",4.72536261217977e-06
"288","ESCA","Normal",9,"ACE2","ISG.gene38",NA,NA,NA,NA,NA,NA
"289","GBM","Tumor",152,"ACE2","ISG.gene38",0.0715113330906988,543422.133014008,0.381304911188239,"Spearman's rank correlation rho","two.sided",0.521737958363595
"290","GBM","Normal",0,"ACE2","ISG.gene38",NA,NA,NA,NA,NA,NA
"291","HNSC","Tumor",500,"ACE2","ISG.gene38",0.495906015624063,10501916,0,"Spearman's rank correlation rho","two.sided",0
"292","HNSC","Normal",44,"ACE2","ISG.gene38",0.563636363636364,6192,9.0097939861014e-05,"Spearman's rank correlation rho","two.sided",0.000594396131027523
"293","KICH","Tumor",65,"ACE2","ISG.gene38",0.29010369433216,32484.8549473604,0.019069745999737,"Spearman's rank correlation rho","two.sided",0.0584395441927424
"294","KICH","Normal",24,"ACE2","ISG.gene38",-0.373913043478261,3160,0.0726822281411724,"Spearman's rank correlation rho","two.sided",0.165186882139028
"295","KIRC","Tumor",530,"ACE2","ISG.gene38",0.113221614803635,22003405.9433892,0.00908612522801073,"Spearman's rank correlation rho","two.sided",0.0315029889292343
"296","KIRC","Normal",72,"ACE2","ISG.gene38",-0.413049070679787,87886,0.000349578038597718,"Spearman's rank correlation rho","two.sided",0.00193080893411531
"297","KIRP","Tumor",288,"ACE2","ISG.gene38",-0.0305596413601309,4102930,0.605315527684461,"Spearman's rank correlation rho","two.sided",0.709937964568195
"298","KIRP","Normal",32,"ACE2","ISG.gene38",-0.219208211143695,6652,0.227103044271613,"Spearman's rank correlation rho","two.sided",0.368581413194281
"299","LAML","Tumor",145,"ACE2","ISG.gene38",0.0582046630753601,478507.374784671,0.486804237535206,"Spearman's rank correlation rho","two.sided",0.61334751413587
"300","LAML","Normal",0,"ACE2","ISG.gene38",NA,NA,NA,NA,NA,NA
"301","LGG","Tumor",510,"ACE2","ISG.gene38",0.0370559959219506,21289165.6639192,0.403675120345592,"Spearman's rank correlation rho","two.sided",0.544732051602717
"302","LGG","Normal",0,"ACE2","ISG.gene38",NA,NA,NA,NA,NA,NA
"303","LIHC","Tumor",371,"ACE2","ISG.gene38",-0.107758742330779,9427846.63870426,0.0380217314357259,"Spearman's rank correlation rho","two.sided",0.0986902865134961
"304","LIHC","Normal",50,"ACE2","ISG.gene38",0.141992797118848,17868,0.324251099548619,"Spearman's rank correlation rho","two.sided",0.461136600173434
"305","LUAD","Tumor",512,"ACE2","ISG.gene38",-0.0310674763690886,23064501.0310675,0.483036023237474,"Spearman's rank correlation rho","two.sided",0.612446962916862
"306","LUAD","Normal",59,"ACE2","ISG.gene38",-0.0521917007597896,36006,0.693915762746036,"Spearman's rank correlation rho","two.sided",0.779219828142712
"307","LUSC","Tumor",501,"ACE2","ISG.gene38",0.118675573156476,18471238,0.00786575441187378,"Spearman's rank correlation rho","two.sided",0.0289630491910081
"308","LUSC","Normal",49,"ACE2","ISG.gene38",0.0419387755102041,18778,0.774229509541808,"Spearman's rank correlation rho","two.sided",0.84725010051096
"309","MESO","Tumor",86,"ACE2","ISG.gene38",0.272531667108387,77108.0059448465,0.0111290246015934,"Spearman's rank correlation rho","two.sided",0.0377591906125489
"310","MESO","Normal",0,"ACE2","ISG.gene38",NA,NA,NA,NA,NA,NA
"311","OV","Tumor",264,"ACE2","ISG.gene38",0.512200319606917,1495876.74389982,4.643928795201e-19,"Spearman's rank correlation rho","two.sided",2.0053328888368e-17
"312","OV","Normal",0,"ACE2","ISG.gene38",NA,NA,NA,NA,NA,NA
"313","PAAD","Tumor",177,"ACE2","ISG.gene38",0.113562784577829,819224,0.132228530252294,"Spearman's rank correlation rho","two.sided",0.250866969475568
"314","PAAD","Normal",4,"ACE2","ISG.gene38",NA,NA,NA,NA,NA,NA
"315","PCPG","Tumor",178,"ACE2","ISG.gene38",0.042983808878842,899527.271504319,0.568882106505646,"Spearman's rank correlation rho","two.sided",0.684098735671347
"316","PCPG","Normal",3,"ACE2","ISG.gene38",NA,NA,NA,NA,NA,NA
"317","PRAD","Tumor",495,"ACE2","ISG.gene38",0.292145489078757,14308910.8539273,3.390123650264e-11,"Spearman's rank correlation rho","two.sided",5.96410642176075e-10
"318","PRAD","Normal",52,"ACE2","ISG.gene38",0.365918210535303,14854,0.00796143507922568,"Spearman's rank correlation rho","two.sided",0.0290898589433246
"319","READ","Tumor",159,"ACE2","ISG.gene38",0.0494835204203487,636770,0.535243966092951,"Spearman's rank correlation rho","two.sided",0.660365932192602
"320","READ","Normal",10,"ACE2","ISG.gene38",NA,NA,NA,NA,NA,NA
"321","SARC","Tumor",259,"ACE2","ISG.gene38",-0.0597378846157089,3068598.21345094,0.338266767707273,"Spearman's rank correlation rho","two.sided",0.475374895446611
"322","SARC","Normal",2,"ACE2","ISG.gene38",NA,NA,NA,NA,NA,NA
"323","SKCMmets","Tumor",367,"ACE2","ISG.gene38",-0.141381133010233,9403172.58828963,0.00667026669020446,"Spearman's rank correlation rho","two.sided",0.0249478478570639
"324","SKCMmets","Normal",1,"ACE2","ISG.gene38",NA,NA,NA,NA,NA,NA
"325","SKCMprimary","Tumor",103,"ACE2","ISG.gene38",-0.0512307728806871,191433.328664665,0.607302449261297,"Spearman's rank correlation rho","two.sided",0.710513949258907
"326","SKCMprimary","Normal",0,"ACE2","ISG.gene38",NA,NA,NA,NA,NA,NA
"327","STAD","Tumor",374,"ACE2","ISG.gene38",0.199275765202436,6981414.51267061,0.000104502557075362,"Spearman's rank correlation rho","two.sided",0.000670793440686448
"328","STAD","Normal",30,"ACE2","ISG.gene38",0.560845383759733,1974,0.00151344425656479,"Spearman's rank correlation rho","two.sided",0.00748839606112788
"329","TGCT","Tumor",134,"ACE2","ISG.gene38",-0.128883513314591,452676.644421584,0.137767962836521,"Spearman's rank correlation rho","two.sided",0.257636938375383
"330","TGCT","Normal",0,"ACE2","ISG.gene38",NA,NA,NA,NA,NA,NA
"331","THCA","Tumor",502,"ACE2","ISG.gene38",0.166186138140701,17580340.7507208,0.000183861357760575,"Spearman's rank correlation rho","two.sided",0.00111966852482402
"332","THCA","Normal",58,"ACE2","ISG.gene38",0.170568150358362,26964,0.199956818433818,"Spearman's rank correlation rho","two.sided",0.335616568042628
"333","THYM","Tumor",119,"ACE2","ISG.gene38",0.269042871385843,205282,0.00317929187482941,"Spearman's rank correlation rho","two.sided",0.013536065242496
"334","THYM","Normal",2,"ACE2","ISG.gene38",NA,NA,NA,NA,NA,NA
"335","UCEC","Tumor",530,"ACE2","ISG.gene38",0.285802944075954,17721189.4283941,2.02112498555951e-11,"Spearman's rank correlation rho","two.sided",3.84013747256307e-10
"336","UCEC","Normal",22,"ACE2","ISG.gene38",0.348390739695087,1154,0.112506246065214,"Spearman's rank correlation rho","two.sided",0.225487202029438
"337","UCS","Tumor",56,"ACE2","ISG.gene38",0.307899998336109,20250.8460486854,0.0209691523758155,"Spearman's rank correlation rho","two.sided",0.0618655116677786
"338","UCS","Normal",0,"ACE2","ISG.gene38",NA,NA,NA,NA,NA,NA
"339","UVM","Tumor",80,"ACE2","ISG.gene38",-0.0544686975127546,89967.2692717882,0.631318556407803,"Spearman's rank correlation rho","two.sided",0.731405644618797
"340","UVM","Normal",0,"ACE2","ISG.gene38",NA,NA,NA,NA,NA,NA
"341","ACC","Tumor",79,"TMPRSS2","Angio.gene6",-0.0525094922813534,86474.179885836,0.645808533314823,"Spearman's rank correlation rho","two.sided",0.737401570491685
"342","ACC","Normal",0,"TMPRSS2","Angio.gene6",NA,NA,NA,NA,NA,NA
"343","BLCA","Tumor",408,"TMPRSS2","Angio.gene6",0.0575399274118591,10668161.7123003,0.246193496243836,"Spearman's rank correlation rho","two.sided",0.387224869919941
"344","BLCA","Normal",19,"TMPRSS2","Angio.gene6",-0.282456140350877,1462,0.240446766095836,"Spearman's rank correlation rho","two.sided",0.383262462736652
"345","BRCA","Tumor",1084,"TMPRSS2","Angio.gene6",0.150617571405292,180318173.246912,6.30347692279475e-07,"Spearman's rank correlation rho","two.sided",5.47186444968488e-06
"346","BRCA","Normal",113,"TMPRSS2","Angio.gene6",-0.750137255747901,420845.005066163,1.1565311401301e-21,"Spearman's rank correlation rho","two.sided",6.10391435068662e-20
"347","CESC","Tumor",304,"TMPRSS2","Angio.gene6",-0.0149680946112746,4752446.00748405,0.79492774000774,"Spearman's rank correlation rho","two.sided",0.860115436227053
"348","CESC","Normal",3,"TMPRSS2","Angio.gene6",NA,NA,NA,NA,NA,NA
"349","CHOL","Tumor",36,"TMPRSS2","Angio.gene6",-0.0234234234234234,7952,0.892156321552512,"Spearman's rank correlation rho","two.sided",0.932569684667564
"350","CHOL","Normal",9,"TMPRSS2","Angio.gene6",NA,NA,NA,NA,NA,NA
"351","COAD","Tumor",447,"TMPRSS2","Angio.gene6",-0.0685600458319181,15906260,0.147801768966794,"Spearman's rank correlation rho","two.sided",0.274241563512606
"352","COAD","Normal",41,"TMPRSS2","Angio.gene6",-0.302090592334495,14948,0.0553144191199452,"Spearman's rank correlation rho","two.sided",0.134740251702431
"353","DLBC","Tumor",48,"TMPRSS2","Angio.gene6",0.0897680765681551,16770.1129573083,0.544007171717428,"Spearman's rank correlation rho","two.sided",0.664276109423594
"354","DLBC","Normal",0,"TMPRSS2","Angio.gene6",NA,NA,NA,NA,NA,NA
"355","ESCA","Tumor",161,"TMPRSS2","Angio.gene6",0.416632160110421,405744,5.20971085677913e-08,"Spearman's rank correlation rho","two.sided",5.75491315574438e-07
"356","ESCA","Normal",9,"TMPRSS2","Angio.gene6",NA,NA,NA,NA,NA,NA
"357","GBM","Tumor",152,"TMPRSS2","Angio.gene6",0.0497784071242769,556141.892991932,0.542510519619046,"Spearman's rank correlation rho","two.sided",0.664155919636718
"358","GBM","Normal",0,"TMPRSS2","Angio.gene6",NA,NA,NA,NA,NA,NA
"359","HNSC","Tumor",500,"TMPRSS2","Angio.gene6",-0.00837761394543799,21007782.9257288,0.851767611182704,"Spearman's rank correlation rho","two.sided",0.905122181905558
"360","HNSC","Normal",44,"TMPRSS2","Angio.gene6",-0.271035940803383,18036,0.0753679218656075,"Spearman's rank correlation rho","two.sided",0.16966712268324
"361","KICH","Tumor",65,"TMPRSS2","Angio.gene6",-4.37062937062937e-05,45762,0.999861754099236,"Spearman's rank correlation rho","two.sided",0.999861754099236
"362","KICH","Normal",24,"TMPRSS2","Angio.gene6",-0.0860869565217391,2498,0.688355186516086,"Spearman's rank correlation rho","two.sided",0.775204329387758
"363","KIRC","Tumor",530,"TMPRSS2","Angio.gene6",-0.307116422762371,32433146.4833149,4.86240681587753e-13,"Spearman's rank correlation rho","two.sided",1.21560170396938e-11
"364","KIRC","Normal",72,"TMPRSS2","Angio.gene6",-0.185638947842305,73742,0.118349684513656,"Spearman's rank correlation rho","two.sided",0.234233750599944
"365","KIRP","Tumor",288,"TMPRSS2","Angio.gene6",-0.0947176575077664,4358360,0.108678404205189,"Spearman's rank correlation rho","two.sided",0.220607871784038
"366","KIRP","Normal",32,"TMPRSS2","Angio.gene6",0.141495601173021,4684,0.438250350548415,"Spearman's rank correlation rho","two.sided",0.579857706157373
"367","LGG","Tumor",510,"TMPRSS2","Angio.gene6",0.0668018225196566,20631532.5849791,0.131918584489681,"Spearman's rank correlation rho","two.sided",0.250866969475568
"368","LGG","Normal",0,"TMPRSS2","Angio.gene6",NA,NA,NA,NA,NA,NA
"369","LIHC","Tumor",371,"TMPRSS2","Angio.gene6",0.202065390318586,6791014,9.16905400932407e-05,"Spearman's rank correlation rho","two.sided",0.000596616528003964
"370","LIHC","Normal",50,"TMPRSS2","Angio.gene6",0.269243697478992,15218,0.0589367569264054,"Spearman's rank correlation rho","two.sided",0.14138868454567
"371","LUAD","Tumor",512,"TMPRSS2","Angio.gene6",0.0669313853208977,20872311.9665343,0.130412016842129,"Spearman's rank correlation rho","two.sided",0.250866969475568
"372","LUAD","Normal",59,"TMPRSS2","Angio.gene6",-0.189012273524255,40688,0.151345278901784,"Spearman's rank correlation rho","two.sided",0.279723764507189
"373","LUSC","Tumor",501,"TMPRSS2","Angio.gene6",0.300973733807286,14650542,7.6189807109421e-12,"Spearman's rank correlation rho","two.sided",1.50792326570729e-10
"374","LUSC","Normal",49,"TMPRSS2","Angio.gene6",-0.169489795918367,22922,0.243516720963434,"Spearman's rank correlation rho","two.sided",0.386857667082378
"375","MESO","Tumor",86,"TMPRSS2","Angio.gene6",0.0996433155718867,95433.3067659579,0.361344154660857,"Spearman's rank correlation rho","two.sided",0.501866881473412
"376","MESO","Normal",0,"TMPRSS2","Angio.gene6",NA,NA,NA,NA,NA,NA
"377","OV","Tumor",264,"TMPRSS2","Angio.gene6",-0.161175904714757,3560838.80588018,0.00870195526089155,"Spearman's rank correlation rho","two.sided",0.0313138541585113
"378","OV","Normal",0,"TMPRSS2","Angio.gene6",NA,NA,NA,NA,NA,NA
"379","PAAD","Tumor",177,"TMPRSS2","Angio.gene6",-0.374573674278492,1270348,3.45711726879909e-07,"Spearman's rank correlation rho","two.sided",3.21986412290111e-06
"380","PAAD","Normal",4,"TMPRSS2","Angio.gene6",NA,NA,NA,NA,NA,NA
"381","PCPG","Tumor",178,"TMPRSS2","Angio.gene6",0.133708792346249,814252.228518782,0.0751859861235652,"Spearman's rank correlation rho","two.sided",0.16966712268324
"382","PCPG","Normal",3,"TMPRSS2","Angio.gene6",NA,NA,NA,NA,NA,NA
"383","PRAD","Tumor",495,"TMPRSS2","Angio.gene6",-0.00374652229490939,20290214,0.933713473787481,"Spearman's rank correlation rho","two.sided",0.957208431421285
"384","PRAD","Normal",52,"TMPRSS2","Angio.gene6",-0.0477247502774695,24544,0.73623200999558,"Spearman's rank correlation rho","two.sided",0.813799288809687
"385","READ","Tumor",159,"TMPRSS2","Angio.gene6",-0.163900167184141,779720,0.0390823152368374,"Spearman's rank correlation rho","two.sided",0.0998069878360095
"386","READ","Normal",10,"TMPRSS2","Angio.gene6",NA,NA,NA,NA,NA,NA
"387","SARC","Tumor",259,"TMPRSS2","Angio.gene6",-0.034501639839051,2995523.63835075,0.580448180467857,"Spearman's rank correlation rho","two.sided",0.692479434418394
"388","SARC","Normal",2,"TMPRSS2","Angio.gene6",NA,NA,NA,NA,NA,NA
"389","SKCMmets","Tumor",367,"TMPRSS2","Angio.gene6",0.0304918276000132,7987211.63963081,0.56037668469135,"Spearman's rank correlation rho","two.sided",0.679139143754152
"390","SKCMmets","Normal",1,"TMPRSS2","Angio.gene6",NA,NA,NA,NA,NA,NA
"391","SKCMprimary","Tumor",103,"TMPRSS2","Angio.gene6",0.159569911377978,153045.680858425,0.107391773399623,"Spearman's rank correlation rho","two.sided",0.218931726887643
"392","SKCMprimary","Normal",0,"TMPRSS2","Angio.gene6",NA,NA,NA,NA,NA,NA
"393","STAD","Tumor",374,"TMPRSS2","Angio.gene6",0.0106225543157532,6538380,0.844967771646978,"Spearman's rank correlation rho","two.sided",0.903933279135802
"394","STAD","Normal",30,"TMPRSS2","Angio.gene6",-0.381090100111235,6208,0.0385315557752179,"Spearman's rank correlation rho","two.sided",0.0994024964271931
"395","TGCT","Tumor",134,"TMPRSS2","Angio.gene6",0.646599084776618,141712,0,"Spearman's rank correlation rho","two.sided",0
"396","TGCT","Normal",0,"TMPRSS2","Angio.gene6",NA,NA,NA,NA,NA,NA
