,ACE2,TMPRSS2,PID,Tinfl_gene160.mean,Tinfl_gene160.median,Tinfl_gene160.centered.scaled.mean,Tinfl_gene160.centered.noscale.mean,Tinfl_gene160.nocenter.scaled.mean,Cancer,patient,Aliquot,shortLetterCode,definition,RNAseq.legacy.flag,Sampletype.flag,Plate,Aliquot.flag,Exclude.mets.flag,Clinical.flag,Tissue.Type,Use.in.analysis,Sample.type,Sample
TCGA.3G.AB0Q.01A,2.693208149,2.693208149,TCGA.3G.AB0Q,2.667697,2.750295,-0.1514267,-0.2472061,0.6573269,THYM,TCGA-3G-AB0Q,TCGA-3G-AB0Q-01A-11R-A42C-07,TP,Primary solid Tumor,1,1,A42C,1,0,1,Lymphoid_tissues,1,Tumor,TCGA-3G-AB0Q-01A
TCGA.3G.AB0T.01A,4.851104369,2.97252724,TCGA.3G.AB0T,3.505411,3.504623,0.4164551,0.590508,0.9894325,THYM,TCGA-3G-AB0T,TCGA-3G-AB0T-01A-11R-A42C-07,TP,Primary solid Tumor,1,1,A42C,1,0,1,Lymphoid_tissues,1,Tumor,TCGA-3G-AB0T-01A
TCGA.3G.AB14.01A,6.203095417,2.635173947,TCGA.3G.AB14,2.977928,2.838173,0.01914895,0.06302471,0.7855455,THYM,TCGA-3G-AB14,TCGA-3G-AB14-01A-11R-A42C-07,TP,Primary solid Tumor,1,1,A42C,1,0,1,Lymphoid_tissues,1,Tumor,TCGA-3G-AB14-01A
TCGA.3G.AB19.01A,3.635905269,4.295987445,TCGA.3G.AB19,3.185368,3.092635,0.1698297,0.2704652,0.8477532,THYM,TCGA-3G-AB19,TCGA-3G-AB19-01A-21R-A42C-07,TP,Primary solid Tumor,1,1,A42C,1,0,1,Lymphoid_tissues,1,Tumor,TCGA-3G-AB19-01A
TCGA.3H.AB3K.01A,2.443341426,3.804838317,TCGA.3H.AB3K,3.480263,3.559233,0.4238866,0.56536,0.9230334,MESO,TCGA-3H-AB3K,TCGA-3H-AB3K-01A-11R-A40A-07,TP,Primary solid Tumor,1,1,A40A,1,0,1,Lung,1,Tumor,TCGA-3H-AB3K-01A
TCGA.3H.AB3L.01A,2.360420466,6.067266552,TCGA.3H.AB3L,2.898695,2.857609,-0.001877691,-0.01620834,0.7702075,MESO,TCGA-3H-AB3L,TCGA-3H-AB3L-01A-11R-A40A-07,TP,Primary solid Tumor,1,1,A40A,1,0,1,Lung,1,Tumor,TCGA-3H-AB3L-01A
TCGA.3H.AB3M.01A,1.755998484,2.289303314,TCGA.3H.AB3M,2.908585,2.945089,0.03433335,-0.006318446,0.7333113,MESO,TCGA-3H-AB3M,TCGA-3H-AB3M-01A-11R-A40A-07,TP,Primary solid Tumor,1,1,A40A,1,0,1,Lung,1,Tumor,TCGA-3H-AB3M-01A
TCGA.3H.AB3O.01A,1.584962501,4.667267692,TCGA.3H.AB3O,6.080532,5.837664,2.168458,3.165629,1.91475,MESO,TCGA-3H-AB3O,TCGA-3H-AB3O-01A-11R-A40A-07,TP,Primary solid Tumor,1,1,A40A,1,0,1,Lung,1,Tumor,TCGA-3H-AB3O-01A
TCGA.3H.AB3S.01A,2.317130379,3.313521592,TCGA.3H.AB3S,2.025464,1.863865,-0.5905985,-0.8894391,0.4235143,MESO,TCGA-3H-AB3S,TCGA-3H-AB3S-01A-21R-A40A-07,TP,Primary solid Tumor,1,1,A40A,1,0,1,Lung,1,Tumor,TCGA-3H-AB3S-01A
TCGA.3H.AB3T.01A,1.584962501,3.865463571,TCGA.3H.AB3T,4.384367,4.236584,0.9903682,1.469464,1.314116,MESO,TCGA-3H-AB3T,TCGA-3H-AB3T-01A-11R-A40A-07,TP,Primary solid Tumor,1,1,A40A,1,0,1,Lung,1,Tumor,TCGA-3H-AB3T-01A
TCGA.3H.AB3U.01A,2.426908791,2.799584701,TCGA.3H.AB3U,2.602388,2.40681,-0.2352833,-0.3125151,0.6621809,MESO,TCGA-3H-AB3U,TCGA-3H-AB3U-01A-21R-A40A-07,TP,Primary solid Tumor,1,1,A40A,1,0,1,Lung,1,Tumor,TCGA-3H-AB3U-01A
TCGA.3H.AB3X.01A,1.981889177,1.584962501,TCGA.3H.AB3X,3.730458,3.597148,0.5677513,0.8155543,1.070054,MESO,TCGA-3H-AB3X,TCGA-3H-AB3X-01A-11R-A40A-07,TP,Primary solid Tumor,1,1,A40A,1,0,1,Lung,1,Tumor,TCGA-3H-AB3X-01A
TCGA.3K.AAZ8.01A,2.908851328,10.12981105,TCGA.3K.AAZ8,2.339976,2.24227,-0.4461652,-0.5749273,0.5840732,LIHC,TCGA-3K-AAZ8,TCGA-3K-AAZ8-01A-12R-A39D-07,TP,Primary solid Tumor,1,1,A39D,1,0,1,Liver_gallbladder,1,Tumor,TCGA-3K-AAZ8-01A
TCGA.3L.AA1B.01A,9.942012994,11.1367028,TCGA.3L.AA1B,2.75913,2.71319,-0.1098623,-0.1557729,0.7477747,COAD,TCGA-3L-AA1B,TCGA-3L-AA1B-01A-11R-A37K-07,TP,Primary solid Tumor,1,1,A37K,1,0,1,Gastrointestinal_tract,1,Tumor,TCGA-3L-AA1B-01A
TCGA.3M.AB46.01A,6.702952285,12.47801603,TCGA.3M.AB46,2.00894,1.78923,-0.6298055,-0.9059629,0.4160616,STAD,TCGA-3M-AB46,TCGA-3M-AB46-01A-11R-A414-31,TP,Primary solid Tumor,1,1,A414,1,0,1,Gastrointestinal_tract,1,Tumor,TCGA-3M-AB46-01A
TCGA.3M.AB47.01A,7.731207182,12.2484494,TCGA.3M.AB47,3.359401,3.326851,0.3218036,0.4444979,0.9377526,STAD,TCGA-3M-AB47,TCGA-3M-AB47-01A-22R-A414-31,TP,Primary solid Tumor,1,1,A414,1,0,1,Gastrointestinal_tract,1,Tumor,TCGA-3M-AB47-01A
TCGA.3N.A9WB.06A,1.584962501,3.113417132,TCGA.3N.A9WB,-0.8856043,-1.129198,-2.659581,-3.800508,-0.5704189,SKCMmets,TCGA-3N-A9WB,TCGA-3N-A9WB-06A-11R-A38C-07,TM,Metastatic,1,1,A38C,1,0,1,Skin,1,Tumor,TCGA-3N-A9WB-06A
TCGA.3N.A9WC.06A,1.584962501,2.203483089,TCGA.3N.A9WC,4.23696,3.865066,0.8658877,1.322056,1.241749,SKCMmets,TCGA-3N-A9WC,TCGA-3N-A9WC-06A-11R-A38C-07,TM,Metastatic,1,1,A38C,1,0,1,Skin,1,Tumor,TCGA-3N-A9WC-06A
TCGA.3N.A9WD.06A,4.72270099,10.64144668,TCGA.3N.A9WD,2.989761,2.877999,0.000482686,0.07485826,0.8192381,SKCMmets,TCGA-3N-A9WD,TCGA-3N-A9WD-06A-11R-A38C-07,TM,Metastatic,1,1,A38C,1,0,1,Skin,1,Tumor,TCGA-3N-A9WD-06A
TCGA.3Q.A9WF.01A,3.12647734,3.586044116,TCGA.3Q.A9WF,3.501963,3.476153,0.4059295,0.5870597,0.9732497,THYM,TCGA-3Q-A9WF,TCGA-3Q-A9WF-01A-11R-A42C-07,TP,Primary solid Tumor,1,1,A42C,1,0,1,Lymphoid_tissues,1,Tumor,TCGA-3Q-A9WF-01A
TCGA.3R.A8YX.01A,3.608040389,2.925372849,TCGA.3R.A8YX,3.490956,3.355067,0.4223888,0.5760531,0.9444966,SARC,TCGA-3R-A8YX,TCGA-3R-A8YX-01A-11R-A37L-07,TP,Primary solid Tumor,1,1,A37L,1,0,1,Soft_muscle_tissues,1,Tumor,TCGA-3R-A8YX-01A
TCGA.3S.A8YW.01A,4.688258703,1.771547572,TCGA.3S.A8YW,1.774732,1.780323,-0.8109029,-1.140172,0.325213,THYM,TCGA-3S-A8YW,TCGA-3S-A8YW-01A-11R-A42C-07,TP,Primary solid Tumor,1,1,A42C,1,0,1,Lymphoid_tissues,1,Tumor,TCGA-3S-A8YW-01A
TCGA.3S.AAYX.01A,6.48045902,2.38650748,TCGA.3S.AAYX,2.739128,2.764922,-0.1240554,-0.1757757,0.7204821,THYM,TCGA-3S-AAYX,TCGA-3S-AAYX-01A-11R-A42C-07,TP,Primary solid Tumor,1,1,A42C,1,0,1,Lymphoid_tissues,1,Tumor,TCGA-3S-AAYX-01A
TCGA.3T.AA9L.01A,3.281223455,5.537087911,TCGA.3T.AA9L,3.10142,3.291469,0.127314,0.1865171,0.8476298,THYM,TCGA-3T-AA9L,TCGA-3T-AA9L-01A-11R-A42C-07,TP,Primary solid Tumor,1,1,A42C,1,0,1,Lymphoid_tissues,1,Tumor,TCGA-3T-AA9L-01A
TCGA.3U.A98D.01A,2.981231613,1.584962501,TCGA.3U.A98D,2.580919,2.384297,-0.2331996,-0.3339841,0.6262557,MESO,TCGA-3U-A98D,TCGA-3U-A98D-01A-12R-A40A-07,TP,Primary solid Tumor,1,1,A40A,1,0,1,Lung,1,Tumor,TCGA-3U-A98D-01A
TCGA.3U.A98E.01A,2.968570034,2.363339312,TCGA.3U.A98E,3.366612,3.119337,0.3030176,0.4517084,0.9328434,MESO,TCGA-3U-A98E,TCGA-3U-A98E-01A-11R-A40A-07,TP,Primary solid Tumor,1,1,A40A,1,0,1,Lung,1,Tumor,TCGA-3U-A98E-01A
TCGA.3U.A98F.01A,3.013658775,2.06053166,TCGA.3U.A98F,2.211355,2.221227,-0.4636841,-0.7035478,0.4994847,MESO,TCGA-3U-A98F,TCGA-3U-A98F-01A-11R-A40A-07,TP,Primary solid Tumor,1,1,A40A,1,0,1,Lung,1,Tumor,TCGA-3U-A98F-01A
TCGA.3U.A98G.01A,1.584962501,2.557973676,TCGA.3U.A98G,3.938319,3.827372,0.7095671,1.023416,1.143639,MESO,TCGA-3U-A98G,TCGA-3U-A98G-01A-11R-A40A-07,TP,Primary solid Tumor,1,1,A40A,1,0,1,Lung,1,Tumor,TCGA-3U-A98G-01A
TCGA.3U.A98H.01A,2.977060068,1.824360542,TCGA.3U.A98H,4.043314,3.839312,0.7890565,1.128411,1.163457,MESO,TCGA-3U-A98H,TCGA-3U-A98H-01A-11R-A40A-07,TP,Primary solid Tumor,1,1,A40A,1,0,1,Lung,1,Tumor,TCGA-3U-A98H-01A
TCGA.3U.A98I.01A,3.863502405,3.205110954,TCGA.3U.A98I,3.423919,3.261987,0.3920173,0.5090159,0.917151,MESO,TCGA-3U-A98I,TCGA-3U-A98I-01A-11R-A40A-07,TP,Primary solid Tumor,1,1,A40A,1,0,1,Lung,1,Tumor,TCGA-3U-A98I-01A
TCGA.3U.A98J.01A,2.180752571,5.888606886,TCGA.3U.A98J,3.582787,3.466339,0.4594763,0.6678838,1.019991,MESO,TCGA-3U-A98J,TCGA-3U-A98J-01A-11R-A40A-07,TP,Primary solid Tumor,1,1,A40A,1,0,1,Lung,1,Tumor,TCGA-3U-A98J-01A
TCGA.3X.AAV9.01A,5.088688611,9.501496868,TCGA.3X.AAV9,4.148169,4.127224,0.8267308,1.233266,1.244687,CHOL,TCGA-3X-AAV9,TCGA-3X-AAV9-01A-72R-A41I-07,TP,Primary solid Tumor,1,1,A41I,1,0,1,Liver_gallbladder,1,Tumor,TCGA-3X-AAV9-01A
TCGA.3X.AAVA.01A,4.627997807,12.24997857,TCGA.3X.AAVA,2.74578,2.692292,-0.1306786,-0.1691234,0.723075,CHOL,TCGA-3X-AAVA,TCGA-3X-AAVA-01A-11R-A41I-07,TP,Primary solid Tumor,1,1,A41I,1,0,1,Liver_gallbladder,1,Tumor,TCGA-3X-AAVA-01A
TCGA.3X.AAVB.01A,4.391595895,10.51573926,TCGA.3X.AAVB,3.232385,3.163795,0.2257128,0.3174814,0.8710212,CHOL,TCGA-3X-AAVB,TCGA-3X-AAVB-01A-31R-A41I-07,TP,Primary solid Tumor,1,1,A41I,1,0,1,Liver_gallbladder,1,Tumor,TCGA-3X-AAVB-01A
TCGA.3X.AAVC.01A,13.88760142,11.53685428,TCGA.3X.AAVC,3.090515,2.97754,0.08310473,0.1756117,0.8560603,CHOL,TCGA-3X-AAVC,TCGA-3X-AAVC-01A-21R-A41I-07,TP,Primary solid Tumor,1,1,A41I,1,0,1,Liver_gallbladder,1,Tumor,TCGA-3X-AAVC-01A
TCGA.3X.AAVE.01A,8.382066293,10.31026058,TCGA.3X.AAVE,4.106824,4.030663,0.8059319,1.19192,1.198745,CHOL,TCGA-3X-AAVE,TCGA-3X-AAVE-01A-11R-A41I-07,TP,Primary solid Tumor,1,1,A41I,1,0,1,Liver_gallbladder,1,Tumor,TCGA-3X-AAVE-01A
TCGA.3Z.A93Z.01A,11.22421879,7.073948734,TCGA.3Z.A93Z,3.389669,3.323224,0.3600278,0.4747653,0.9084937,KIRC,TCGA-3Z-A93Z,TCGA-3Z-A93Z-01A-11R-A37O-07,TP,Primary solid Tumor,1,1,A37O,1,0,1,Kidney_urinary_bladder,1,Tumor,TCGA-3Z-A93Z-01A
TCGA.41.2571.01A,1.584962501,2.062674363,TCGA.41.2571,2.180071,2.235163,-0.4737485,-0.7348322,0.5038113,GBM,TCGA-41-2571,TCGA-41-2571-01A-01R-1850-01,TP,Primary solid Tumor,1,1,1850,1,0,1,Brain,1,Tumor,TCGA-41-2571-01A
TCGA.41.2572.01A,4.090362289,1.584962501,TCGA.41.2572,2.894484,2.815537,-0.02136525,-0.0204189,0.7540591,GBM,TCGA-41-2572,TCGA-41-2572-01A-01R-1850-01,TP,Primary solid Tumor,1,1,1850,1,0,1,Brain,1,Tumor,TCGA-41-2572-01A
TCGA.41.3915.01A,2.653931334,3.26116972,TCGA.41.3915,3.867781,3.705547,0.6589437,0.9528777,1.118509,GBM,TCGA-41-3915,TCGA-41-3915-01A-01R-1850-01,TP,Primary solid Tumor,1,1,1850,1,0,1,Brain,1,Tumor,TCGA-41-3915-01A
TCGA.41.4097.01A,3.416110105,5.200386646,TCGA.41.4097,3.61846,3.478849,0.487648,0.703557,1.032387,GBM,TCGA-41-4097,TCGA-41-4097-01A-01R-1850-01,TP,Primary solid Tumor,1,1,1850,1,0,1,Brain,1,Tumor,TCGA-41-4097-01A
TCGA.41.5651.01A,2.861220931,2.076901088,TCGA.41.5651,1.758951,1.679166,-0.8269334,-1.155952,0.3764968,GBM,TCGA-41-5651,TCGA-41-5651-01A-01R-1850-01,TP,Primary solid Tumor,1,1,1850,1,0,1,Brain,1,Tumor,TCGA-41-5651-01A
TCGA.43.2576.01A,8.57623868,8.616387106,TCGA.43.2576,4.095335,3.908454,0.827678,1.180432,1.167424,LUSC,TCGA-43-2576,TCGA-43-2576-01A-01R-A32Z-07,TP,Primary solid Tumor,1,1,A32Z,1,0,1,Lung,1,Tumor,TCGA-43-2576-01A
TCGA.43.2578.01A,5.006504493,9.573448377,TCGA.43.2578,2.650525,2.499455,-0.1952158,-0.2643781,0.6637269,LUSC,TCGA-43-2578,TCGA-43-2578-01A-01R-0851-07,TP,Primary solid Tumor,1,1,851,1,0,1,Lung,1,Tumor,TCGA-43-2578-01A
TCGA.43.2581.01A,9.345600402,11.01838798,TCGA.43.2581,3.896233,3.724155,0.7155772,0.9813299,1.094618,LUSC,TCGA-43-2581,TCGA-43-2581-01A-01R-0851-07,TP,Primary solid Tumor,1,1,851,1,0,1,Lung,1,Tumor,TCGA-43-2581-01A
TCGA.43.3394.01A,5.941273019,8.709511214,TCGA.43.3394,1.613667,1.445397,-0.8808028,-1.301236,0.3074214,LUSC,TCGA-43-3394,TCGA-43-3394-01A-01R-0980-07,TP,Primary solid Tumor,1,1,980,1,0,1,Lung,1,Tumor,TCGA-43-3394-01A
TCGA.43.3920.01A,5.220399611,8.209428996,TCGA.43.3920,2.883501,2.752878,-0.04867428,-0.03140178,0.7797549,LUSC,TCGA-43-3920,TCGA-43-3920-01A-01R-0980-07,TP,Primary solid Tumor,1,1,980,1,0,1,Lung,1,Tumor,TCGA-43-3920-01A
TCGA.43.5668.01A,5.411412686,10.17331486,TCGA.43.5668,4.088828,3.867147,0.7999153,1.173925,1.188402,LUSC,TCGA-43-5668,TCGA-43-5668-01A-01R-1635-07,TP,Primary solid Tumor,1,1,1635,1,0,1,Lung,1,Tumor,TCGA-43-5668-01A
TCGA.43.5670.01A,9.077109449,6.159534332,TCGA.43.5670,-0.08285955,-0.03127814,-2.090829,-2.997763,-0.280392,LUSC,TCGA-43-5670,TCGA-43-5670-01A-21R-2125-07,TP,Primary solid Tumor,1,1,2125,1,0,1,Lung,1,Tumor,TCGA-43-5670-01A
TCGA.43.5670.11A,5.592753021,12.01307138,TCGA.43.5670,4.23611,3.995612,0.9410823,1.321207,1.220832,LUSC,TCGA-43-5670,TCGA-43-5670-11A-01R-2125-07,NT,Solid Tissue Normal,1,1,2125,1,0,1,Lung,1,Normal,TCGA-43-5670-11A
TCGA.43.6143.01A,3.096750991,6.080220611,TCGA.43.6143,1.585616,1.45418,-0.9195582,-1.329287,0.2952963,LUSC,TCGA-43-6143,TCGA-43-6143-01A-11R-1820-07,TP,Primary solid Tumor,1,1,1820,1,0,1,Lung,1,Tumor,TCGA-43-6143-01A
TCGA.43.6143.11A,5.607836278,11.4987146,TCGA.43.6143,4.618762,4.487448,1.220967,1.703859,1.367913,LUSC,TCGA-43-6143,TCGA-43-6143-11A-01R-1820-07,NT,Solid Tissue Normal,1,1,1820,1,0,1,Lung,1,Normal,TCGA-43-6143-11A
TCGA.43.6647.01A,4.940523856,7.987923379,TCGA.43.6647,3.294833,3.035799,0.257195,0.3799297,0.9010729,LUSC,TCGA-43-6647,TCGA-43-6647-01A-11R-1820-07,TP,Primary solid Tumor,1,1,1820,1,0,1,Lung,1,Tumor,TCGA-43-6647-01A
TCGA.43.6647.11A,5.336008393,12.56964916,TCGA.43.6647,4.041201,3.843425,0.8304823,1.126297,1.146249,LUSC,TCGA-43-6647,TCGA-43-6647-11A-01R-1820-07,NT,Solid Tissue Normal,1,1,1820,1,0,1,Lung,1,Normal,TCGA-43-6647-11A
TCGA.43.6770.01A,5.013681104,7.968770456,TCGA.43.6770,2.021769,2.059239,-0.6009574,-0.8931345,0.4471512,LUSC,TCGA-43-6770,TCGA-43-6770-01A-11R-1820-07,TP,Primary solid Tumor,1,1,1820,1,0,1,Lung,1,Tumor,TCGA-43-6770-01A
TCGA.43.6771.01A,5.563570009,7.329841177,TCGA.43.6771,2.404469,2.227401,-0.3655171,-0.5104343,0.5740684,LUSC,TCGA-43-6771,TCGA-43-6771-01A-11R-1820-07,TP,Primary solid Tumor,1,1,1820,1,0,1,Lung,1,Tumor,TCGA-43-6771-01A
TCGA.43.6771.11A,5.496110773,12.63763243,TCGA.43.6771,4.291261,4.173856,1.018723,1.376358,1.223992,LUSC,TCGA-43-6771,TCGA-43-6771-11A-01R-1820-07,NT,Solid Tissue Normal,1,1,1820,1,0,1,Lung,1,Normal,TCGA-43-6771-11A
TCGA.43.6773.01A,6.659001178,7.035447961,TCGA.43.6773,3.828612,3.805729,0.6283824,0.9137086,1.115116,LUSC,TCGA-43-6773,TCGA-43-6773-01A-41R-1949-07,TP,Primary solid Tumor,1,1,1949,1,0,1,Lung,1,Tumor,TCGA-43-6773-01A
TCGA.43.6773.11A,6.305921288,10.54421102,TCGA.43.6773,4.136634,4.188563,0.9055858,1.22173,1.181799,LUSC,TCGA-43-6773,TCGA-43-6773-11A-01R-1949-07,NT,Solid Tissue Normal,1,1,1949,1,0,1,Lung,1,Normal,TCGA-43-6773-11A
TCGA.43.7656.01A,2.185803129,4.756046536,TCGA.43.7656,3.398774,3.281643,0.3182401,0.4838708,0.96759,LUSC,TCGA-43-7656,TCGA-43-7656-01A-11R-2125-07,TP,Primary solid Tumor,1,1,2125,1,0,1,Lung,1,Tumor,TCGA-43-7656-01A
TCGA.43.7657.01A,5.416018874,5.347343211,TCGA.43.7657,1.218936,1.165128,-1.171152,-1.695968,0.1288318,LUSC,TCGA-43-7657,TCGA-43-7657-01A-31R-2125-07,TP,Primary solid Tumor,1,1,2125,1,0,1,Lung,1,Tumor,TCGA-43-7657-01A
TCGA.43.7657.11A,6.149216679,11.33815139,TCGA.43.7657,4.229016,3.992349,0.9230709,1.314112,1.226891,LUSC,TCGA-43-7657,TCGA-43-7657-11A-01R-2125-07,NT,Solid Tissue Normal,1,1,2125,1,0,1,Lung,1,Normal,TCGA-43-7657-11A
TCGA.43.7658.01A,3.432598688,7.506200454,TCGA.43.7658,3.100412,2.996412,0.08546085,0.1855087,0.8605907,LUSC,TCGA-43-7658,TCGA-43-7658-01A-11R-2125-07,TP,Primary solid Tumor,1,1,2125,1,0,1,Lung,1,Tumor,TCGA-43-7658-01A
TCGA.43.7658.11A,6.080983768,12.15774166,TCGA.43.7658,4.094654,3.844916,0.8587932,1.179751,1.158635,LUSC,TCGA-43-7658,TCGA-43-7658-11A-01R-2125-07,NT,Solid Tissue Normal,1,1,2125,1,0,1,Lung,1,Normal,TCGA-43-7658-11A
TCGA.43.8115.01A,5.230302941,6.409884763,TCGA.43.8115,4.191581,4.039926,0.8835345,1.276678,1.234116,LUSC,TCGA-43-8115,TCGA-43-8115-01A-11R-2247-07,TP,Primary solid Tumor,1,1,2247,1,0,1,Lung,1,Tumor,TCGA-43-8115-01A
TCGA.43.8116.01A,4.589601714,8.328679415,TCGA.43.8116,2.817264,2.683148,-0.08858121,-0.09763873,0.7636062,LUSC,TCGA-43-8116,TCGA-43-8116-01A-11R-2247-07,TP,Primary solid Tumor,1,1,2247,1,0,1,Lung,1,Tumor,TCGA-43-8116-01A
TCGA.43.8118.01A,4.87241017,9.404749882,TCGA.43.8118,3.436509,3.325869,0.3740849,0.5216059,0.9408575,LUSC,TCGA-43-8118,TCGA-43-8118-01A-11R-2403-07,TP,Primary solid Tumor,1,1,2403,1,0,1,Lung,1,Tumor,TCGA-43-8118-01A
TCGA.43.A474.01A,8.576438996,5.162181833,TCGA.43.A474,-0.004723301,0.07161031,-2.022857,-2.919627,-0.2648696,LUSC,TCGA-43-A474,TCGA-43-A474-01A-11R-A24H-07,TP,Primary solid Tumor,1,1,A24H,1,0,1,Lung,1,Tumor,TCGA-43-A474-01A
TCGA.43.A475.01A,8.726936773,6.667460728,TCGA.43.A475,4.775416,4.540332,1.282964,1.860513,1.440168,LUSC,TCGA-43-A475,TCGA-43-A475-01A-11R-A24H-07,TP,Primary solid Tumor,1,1,A24H,1,0,1,Lung,1,Tumor,TCGA-43-A475-01A
TCGA.43.A56U.01A,5.926815449,8.724268267,TCGA.43.A56U,5.01594,4.918047,1.463344,2.101036,1.538476,LUSC,TCGA-43-A56U,TCGA-43-A56U-01A-11R-A26W-07,TP,Primary solid Tumor,1,1,A26W,1,0,1,Lung,1,Tumor,TCGA-43-A56U-01A
TCGA.43.A56V.01A,7.208127036,9.635482337,TCGA.43.A56V,2.693999,2.664665,-0.1415997,-0.2209042,0.7000468,LUSC,TCGA-43-A56V,TCGA-43-A56V-01A-11R-A26W-07,TP,Primary solid Tumor,1,1,A26W,1,0,1,Lung,1,Tumor,TCGA-43-A56V-01A
TCGA.44.2655.01A,9.288397785,10.41705079,TCGA.44.2655,2.729713,2.466095,-0.1279027,-0.1851904,0.7107535,LUAD,TCGA-44-2655,TCGA-44-2655-01A-01R-0946-07,TP,Primary solid Tumor,1,1,946,1,0,1,Lung,1,Tumor,TCGA-44-2655-01A
TCGA.44.2655.11A,5.943724454,11.53910064,TCGA.44.2655,2.454185,2.319567,-0.312134,-0.4607181,0.6065223,LUAD,TCGA-44-2655,TCGA-44-2655-11A-01R-1758-07,NT,Solid Tissue Normal,1,1,1758,1,0,1,Lung,1,Normal,TCGA-44-2655-11A
TCGA.44.2656.01A,7.323379077,11.18665283,TCGA.44.2656,4.29544,4.144168,0.9552228,1.380537,1.260682,LUAD,TCGA-44-2656,TCGA-44-2656-01A-02R-0946-07,TP,Primary solid Tumor,1,1,946,1,0,1,Lung,1,Tumor,TCGA-44-2656-01A
TCGA.44.2657.01A,7.753230123,11.63793351,TCGA.44.2657,3.588403,3.401785,0.4445578,0.6734996,1.020344,LUAD,TCGA-44-2657,TCGA-44-2657-01A-01R-1107-07,TP,Primary solid Tumor,1,1,1107,1,0,1,Lung,1,Tumor,TCGA-44-2657-01A
TCGA.44.2657.11A,6.084984795,11.64894623,TCGA.44.2657,4.038208,3.95705,0.7555532,1.123305,1.197894,LUAD,TCGA-44-2657,TCGA-44-2657-11A-01R-1758-07,NT,Solid Tissue Normal,1,1,1758,1,0,1,Lung,1,Normal,TCGA-44-2657-11A
TCGA.44.2659.01A,6.01028752,11.5576743,TCGA.44.2659,3.429965,3.137293,0.3333412,0.5150615,0.9567076,LUAD,TCGA-44-2659,TCGA-44-2659-01A-01R-0946-07,TP,Primary solid Tumor,1,1,946,1,0,1,Lung,1,Tumor,TCGA-44-2659-01A
TCGA.44.2661.01A,6.68515385,11.37202161,TCGA.44.2661,3.77031,3.61746,0.5978409,0.8554071,1.086762,LUAD,TCGA-44-2661,TCGA-44-2661-01A-01R-1107-07,TP,Primary solid Tumor,1,1,1107,1,0,1,Lung,1,Tumor,TCGA-44-2661-01A
TCGA.44.2661.11A,4.909014602,11.97630277,TCGA.44.2661,3.329363,3.137595,0.28833,0.41446,0.9198493,LUAD,TCGA-44-2661,TCGA-44-2661-11A-01R-1758-07,NT,Solid Tissue Normal,1,1,1758,1,0,1,Lung,1,Normal,TCGA-44-2661-11A
TCGA.44.2662.01A,6.743339925,10.98862079,TCGA.44.2662,3.514555,3.781227,0.4757804,0.5996517,0.9512241,LUAD,TCGA-44-2662,TCGA-44-2662-01A-01R-0946-07,TP,Primary solid Tumor,1,1,946,1,0,1,Lung,1,Tumor,TCGA-44-2662-01A
TCGA.44.2662.11A,6.695116909,11.98606601,TCGA.44.2662,3.407039,3.409022,0.3478691,0.4921353,0.9269797,LUAD,TCGA-44-2662,TCGA-44-2662-11A-01R-1758-07,NT,Solid Tissue Normal,1,1,1758,1,0,1,Lung,1,Normal,TCGA-44-2662-11A
TCGA.44.2665.01A,4.184304101,9.575467394,TCGA.44.2665,2.983761,2.952517,0.08033725,0.06885744,0.7728011,LUAD,TCGA-44-2665,TCGA-44-2665-01A-01R-0946-07,TP,Primary solid Tumor,1,1,946,1,0,1,Lung,1,Tumor,TCGA-44-2665-01A
TCGA.44.2665.11A,5.760739904,12.50517887,TCGA.44.2665,2.936819,2.890779,0.04205881,0.02191535,0.7466798,LUAD,TCGA-44-2665,TCGA-44-2665-11A-01R-1758-07,NT,Solid Tissue Normal,1,1,1758,1,0,1,Lung,1,Normal,TCGA-44-2665-11A
TCGA.44.2666.01A,3.210373278,12.3622233,TCGA.44.2666,1.807332,1.76006,-0.7566339,-1.107571,0.3858847,LUAD,TCGA-44-2666,TCGA-44-2666-01A-01R-0946-07,TP,Primary solid Tumor,1,1,946,1,0,1,Lung,1,Tumor,TCGA-44-2666-01A
TCGA.44.2668.01A,3.711373759,8.844347988,TCGA.44.2668,3.794066,3.934752,0.6082478,0.8791629,1.07183,LUAD,TCGA-44-2668,TCGA-44-2668-01A-01R-0946-07,TP,Primary solid Tumor,1,1,946,1,0,1,Lung,1,Tumor,TCGA-44-2668-01A
TCGA.44.2668.11A,6.217785194,12.25349297,TCGA.44.2668,3.623744,3.732057,0.5479335,0.7088412,0.9819385,LUAD,TCGA-44-2668,TCGA-44-2668-11A-01R-1758-07,NT,Solid Tissue Normal,1,1,1758,1,0,1,Lung,1,Normal,TCGA-44-2668-11A
TCGA.44.3396.01A,6.893726237,11.61888559,TCGA.44.3396,3.813515,3.739352,0.6189429,0.8986115,1.095567,LUAD,TCGA-44-3396,TCGA-44-3396-01A-01R-1206-07,TP,Primary solid Tumor,1,1,1206,1,0,1,Lung,1,Tumor,TCGA-44-3396-01A
